basin_id,NSE_training,dd,f_thr,sumax,beta,perc,kf,ki,kb,NSE_testing
2001,0.68,3.3657181,27.040335,169.75555,5.863472,0.6903384,2.0042624,2.6220355,421.63455,0.7
4001,0.76,2.7516108,22.959908,78.50539,1.0086877,0.73356533,3.138897,11.406161,50.17828,0.79
6007,0.86,0.94889146,21.334257,95.753654,3.6805797,0.5246734,5.7058783,4.6850386,81.73883,0.88
7001,0.51,1.1154202,46.578262,54.842476,3.5498571,0.7736546,1.551307,1.8236456,128.79988,0.62
7002,0.57,1.1782888,31.55592,80.603386,3.323824,0.70446366,1.6880414,2.435482,522.456,0.62
8004,0.57,2.5278146,44.358593,49.616318,2.494639,0.5052534,3.1993918,2.1815882,75.83735,0.64
8005,0.63,0.77609396,32.819355,689.33264,5.950984,0.56144595,5.797904,5.027058,998.3093,0.68
8006,0.67,1.6168312,20.488132,310.22797,5.9939795,0.4966672,4.8811765,4.175227,139.9252,0.71
9002,0.73,2.4153357,58.725666,174.3411,5.9864902,0.5829606,8.865933,3.355597,83.614784,0.72
10003,0.84,7.7306285,38.32212,260.6737,5.8980017,0.5337054,4.9558992,5.137082,48.539192,0.82
11001,0.8,1.9501641,35.95316,224.9362,5.6293364,0.5140749,7.1828237,4.8580165,72.2883,0.77
11003,0.72,2.7110636,25.00457,279.58954,4.467991,0.41282427,5.4595733,3.4614446,60.242344,0.72
12001,0.63,0.8676519,55.674786,124.79055,3.2927084,0.6266633,6.2863574,3.1595094,76.73989,0.71
12002,0.67,2.6665957,27.706781,77.20981,3.9810135,0.5394023,4.7461553,3.2150257,69.68569,0.73
13007,0.72,1.3701074,26.012579,205.56082,5.6894164,0.6716891,3.1196938,3.3334165,52.721832,0.77
13008,0.73,0.32431847,46.567535,189.28041,5.9254107,0.6217259,11.993574,3.3112857,51.642735,0.79
15006,0.85,1.8133715,30.658453,151.1065,3.4470294,0.6271261,4.6916265,5.6007023,49.198147,0.87
15007,0.89,2.6681676,42.377415,244.0896,5.6618924,0.6702217,3.4902995,6.1619406,80.53189,0.91
15012,0.81,1.1939595,30.09749,153.39116,2.7775073,0.6031811,3.803358,6.082118,32.247807,0.84
15016,0.82,2.6846185,31.586668,62.23614,1.0015422,0.997583,4.919006,9.507314,380.35474,0.83
15025,0.69,0.9250763,32.58951,181.83406,4.4639926,0.70484424,7.4223175,2.4042275,34.398922,0.76
16001,0.85,2.4529583,26.087967,280.50705,5.547528,0.6700245,3.8382428,4.3987,30.820833,0.86
16004,0.84,1.9410487,20.360365,338.26947,5.391202,0.9145401,3.6740751,6.031043,36.04714,0.86
18003,0.83,1.9349655,26.153841,591.8396,4.830327,0.9257659,3.1339417,5.192144,696.099,0.87
21006,0.81,6.371315,28.602942,261.1942,5.9345217,0.80310535,3.2078004,3.9998868,82.174934,0.8
21009,0.79,4.293152,41.009365,237.04024,5.9369607,0.7692133,2.9081705,4.4760437,82.335625,0.75
21022,0.75,2.9383183,35.085564,331.6375,5.886101,0.7338329,2.1963997,3.377092,33.75055,0.66
23004,0.73,3.6000993,56.91414,87.97617,5.660715,0.8000181,6.39679,1.9302493,50.88663,0.78
25001,0.71,5.7680345,46.332363,413.04483,5.6982627,0.78012943,2.2333732,2.450636,73.13575,0.75
27001,0.78,2.3401785,33.03881,400.20703,5.9902215,0.82277334,3.9837804,4.1299863,992.5428,0.71
27003,0.84,2.8780365,47.50096,296.1361,4.3062477,0.80868113,10.59182,4.4746766,208.32964,0.81
27007,0.74,3.19002,28.99463,273.56512,3.8263,0.9187944,3.1030838,3.473509,526.45294,0.75
27021,0.8,2.6271415,55.222004,317.2515,4.644957,0.7294343,13.415167,3.960767,164.5024,0.76
27034,0.8,5.598011,36.11966,81.11693,4.253922,0.8027991,1.9354897,2.406139,41.3007,0.81
27041,0.83,3.5474129,53.246742,454.79367,5.9994087,0.7157377,18.55123,8.51799,968.66223,0.86
27071,0.75,1.9805821,36.972214,324.532,4.8950243,0.8502517,4.614254,4.5294194,376.9883,0.76
27080,0.84,2.5360014,57.584377,171.71967,2.677408,0.7990057,3.1690772,3.7515836,57.395897,0.84
28015,0.52,6.69808,59.504932,697.06134,5.997149,0.41448876,9.716418,8.423002,988.06024,-0.37
28018,0.76,2.6714582,53.09847,330.4213,5.9841065,0.6867751,11.854362,4.04644,84.83233,0.78
28024,0.73,3.7285895,48.960945,288.64572,5.994868,0.84825313,9.001568,4.111924,146.0899,0.74
28067,0.83,3.3209672,59.36,533.00543,5.990991,0.72168094,11.316357,6.438488,128.76743,0.73
28080,0.6,5.801173,23.732172,56.034943,1.0195363,0.6042725,4.926628,2.6881218,164.21767,0.7
28085,0.82,4.4347386,59.2909,610.69824,5.9976296,0.77061814,14.680012,6.814034,471.574,0.79
33022,0.77,5.58718,43.446526,393.94537,5.9960933,0.5326979,12.426399,5.4007034,678.02576,0.73
33034,0.74,3.6765049,44.471085,529.81866,5.9961667,0.6220902,16.37037,11.717571,996.5539,0.74
33039,0.8,1.6624705,40.287876,351.8547,5.995588,0.85987175,10.081349,7.03239,796.19257,0.79
36006,0.69,3.0548663,39.381264,325.7175,5.984135,0.7317899,11.083549,5.3517747,983.78827,0.7
38001,0.48,5.27714,51.94476,663.3525,5.999851,0.5224197,11.987917,4.27025,997.3888,0.62
39002,0.86,7.101652,46.816917,397.24847,5.9993215,0.8750818,15.637282,11.713552,992.64856,0.87
39008,0.85,7.7242627,43.8958,426.67963,5.994181,0.8581526,9.288002,13.765733,984.99603,0.87
39010,0.1,5.4657855,58.13679,698.52386,5.988859,0.3635718,14.087964,24.64724,997.3801,0.45
39016,0.81,5.221912,49.37885,646.9647,5.9968824,0.7106329,13.685651,32.799484,996.7407,0.81
39021,0.81,2.7250652,45.05197,426.1968,5.996329,0.7622522,8.399782,10.466107,987.7843,0.77
39034,0.9,4.9603806,45.09222,345.45474,5.994127,0.763348,6.709548,10.834885,101.34386,0.88
40003,0.73,9.928526,31.607721,376.57315,5.989679,0.79001164,11.028887,4.024816,994.6601,0.73
42004,0.79,4.8533807,44.47227,632.2465,5.99454,0.5286343,13.636182,45.246017,995.71423,0.76
43007,0.83,6.3922353,43.96749,451.21597,5.9856334,0.56482196,18.60254,6.0162363,51.64222,0.83
43008,0.66,2.630443,55.90937,698.8343,5.9958234,0.737206,9.375699,32.85815,997.3122,0.56
43009,0.72,9.941312,30.950964,320.02612,5.9897857,0.96911174,4.1840177,3.6765094,620.3602,0.74
44001,0.88,4.967874,58.66835,693.6392,5.99935,0.6036612,16.292233,20.313211,311.4952,0.84
